action,description,details,directory,countryCode,owaspCategory,applicationId,applicationName,tenantId,tenantName,example,extension,host,method,paramName,paramType,paramValue,params,passive,patternId,protocol,receivedTimeStamp,receivedTimeFormatted,refineDate,refineDateFormatted,request,ruleId,severity,externalIp,sourcePort,targetModule,protection,title,transId,uri,violationCategory,violationType,vulnData
Reported,"An attempt has been made to retrieve rows from the database and to allow the selection of one or many rows or columns from one or many tables, using the SELECT FROM statement. For further information visit: http://msdn2.microsoft.com/en-us/library/ms189499(SQL.90).aspx","Database Security Filter intercepted a malicious request with a submitted parameter name/value, which includes a harmful expression.

Rule ID: S1SELA
Details: an attempt has been made to retrieve rows from the database and to allow the selection of one or many rows or columns from one or many tables, using the select from statement. for further information visit: http://msdn2.microsoft.com/en-us/library/ms189499(sql.90).aspx
Example: SELECT tbl_tarot FROM db_named
No Src Page: might be manual hacking ",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,SELECT tbl_tarot FROM db_named,,167.86.50.225,POST,lastname,Body URL Encoded,test' AND (SELECT 6133 FROM (SELECT(SLEEP(6)))nOqb) AND 'RiUU'=,,TRUE,S1SELA,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46918
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,22268,Database,Known Attack Types,Parameter Validation Failure,814360152,/contactus.php,Injections,SQL Injection,
Reported,attempt to inject the SQL command Sleep,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10507
Description: attempt to inject the SQL command Sleep (Severity: Medium)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,NL,A3,66fa9ca8-9d02-4ec3-901a-de114ce9ed9b,vaizman-test203,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,167.86.50.225,POST,lastname,Body URL Encoded,test' and (select 6133 from (select(sleep(6)))noqb) and 'riuu'=,N/A,TRUE,10507,HTTP,1.74E+12,13/03/2025 9:37,,,"POST /contactus.php HTTP/1.1
Host: 167.86.50.225
X-RDWR-IP: 45.143.167.148
X-RDWR-PORT: 46918
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: 66fa9ca8-9d02-4ec3-901a-de114ce9ed9b
Content-Length: 211
User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15
Content-Type: application/x-www-form-urlencoded
Accept-Encoding: gzip

",,High,45.143.167.148,22268,Vulnerabilities,Known Attack Types,Pattern Violation Detected,814360152,/contactus.php,Injections,SQL Injection,sleep\(\d
Reported,Attempt to access administrative location,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
9297
Description: Attempt to access administrative location (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/logs/temp/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,9297,HTTP,1.74E+12,13/03/2025 9:31,,,"GET /logs/temp/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60192
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,3836,Vulnerabilities,Known Attack Types,Pattern Violation Detected,858614789,/logs/temp/.git/config,Access Control,Predictable Resource Location,/temp/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/v2/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:31,,,"GET /v2/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60178
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,13824,Vulnerabilities,Known Attack Types,Pattern Violation Detected,873119230,/v2/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,Attempt to access a sensitive location,"Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
9331
Description: Attempt to access a sensitive location (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/config/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,9331,HTTP,1.74E+12,13/03/2025 9:31,,,"GET /config/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60168
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,6554,Vulnerabilities,Known Attack Types,Pattern Violation Detected,924069524,/config/.git/config,Access Control,Predictable Resource Location,/config/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/infra/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:31,,,"GET /infra/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60154
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,35806,Vulnerabilities,Known Attack Types,Pattern Violation Detected,897474614,/infra/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/static/files/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:31,,,"GET /static/files/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60142
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,34548,Vulnerabilities,Known Attack Types,Pattern Violation Detected,913988528,/static/files/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/lib/js/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:30,,,"GET /lib/js/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60140
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,32494,Vulnerabilities,Known Attack Types,Pattern Violation Detected,897474613,/lib/js/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/api/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:30,,,"GET /api/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60124
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,29546,Vulnerabilities,Known Attack Types,Pattern Violation Detected,924069523,/api/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/server/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:30,,,"GET /server/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60102
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,58976,Vulnerabilities,Known Attack Types,Pattern Violation Detected,897474612,/server/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/build_tool/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:30,,,"GET /build_tool/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60094
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,61286,Vulnerabilities,Known Attack Types,Pattern Violation Detected,873119229,/build_tool/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,"Attempt to access a sensitive location, .git folder, which contains source code repository","Vulnerabilities Security Filter intercepted a malicious request, which includes a blocked pattern.
10053
Description: Attempt to access a sensitive location, .git folder, which contains source code repository (Severity: High)

No Src Page: might be manual hacking attempt !
Authenticated as Public
",/test_environment/.git/,NL,A1,941bffbb-5959-49aa-a66d-8ecc8b8bcf3f,yb-mp,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,,66.22.111.145,GET,,,,N/A,TRUE,10053,HTTP,1.74E+12,13/03/2025 9:30,,,"GET /test_environment/.git/config HTTP/1.1
Host: 66.22.111.145
X-RDWR-IP: 45.148.10.35
X-RDWR-PORT: 60086
X-RDWR-PORT-MM-ORIG-FE-PORT: 80
X-RDWR-PORT-MM: 80
X-RDWR-APP-ID: 941bffbb-5959-49aa-a66d-8ecc8b8bcf3f
User-Agent: l9explore/1.2.2
Accept-Encoding: gzip

",,High,45.148.10.35,52170,Vulnerabilities,Known Attack Types,Pattern Violation Detected,873119228,/test_environment/.git/config,Access Control,Predictable Resource Location,/.git/
Reported,,"AllowList Security Filter intercepted a malicious request. Users are forbidden to access the requested page.
Method: GET.
No Src Page: might be manual hacking attempt !
Authenticated as Public
",/,AU,A1,e4733654-ba10-4d29-a1e0-d729fce78d2e,alexey-acl,d6ed80e4-40e6-4d80-993e-3c2d42ea1994,AmirF Demo,,*.env,176.100.167.18,GET,,,,,TRUE,,HTTP,1.74E+12,13/03/2025 9:28,,,"GET /.env HTTP/1.1
Host: 176.100.167.18
X-RDWR-IP: 134.199.162.236
X-RDWR-PORT: 38726
X-RDWR-PORT-MM-ORIG-FE-PORT: 443
X-RDWR-PORT-MM: 443
X-RDWR-APP-ID: e4733654-ba10-4d29-a1e0-d729fce78d2e
User-Agent: Mozilla/5.0 Keydrop
Accept: */*
Accept-Encoding: gzip

",,High,134.199.162.236,11740,AllowList,Allowed File Extension,Access denied due to malicious request,558639161,/.env,Access Control,URL Access Violation,
